Unnamed: 0.1,flow[m3/s],lift[m],rotate speed[r/min],NPSHC[m],shaft diameter[mm],impeller inter diameter[mm],impeller outlet diameter[mm],outlet width[mm],outlet angle[°],d0k0,d2k2d2,b2k2b2,overall efficiency[%]
212,0.0278,50,1450,1.4,0,125,395,15,,1520.145235,4803.658942,182.4174282,
213,0.0278,50,2900,3,0,98,215,14,,1191.793864,2614.649804,170.2562663,
214,0.0278,80,2900,3,0,100,263,11,,1422.378122,3740.854461,156.4615934,
215,0.0278,125,2900,3,0,100,310,12,,1650.523602,5116.623167,198.0628323,
216,0.0278,20,2900,3,0,89,139,26,,797.4774409,1245.498475,232.9709378,
217,0.0278,32,2900,3,0,100,178,17,,1048.017161,1865.470546,178.1629174,
218,0.0278,12.5,1450,1.3,0,125,223,20,,957.6314902,1708.414578,153.2210384,
219,0.0278,20,1450,1.3,0,126,240,17,,1129.013006,2150.500964,152.3271516,
220,0.0278,32,1450,1.3,0,125,328,13,,1310.021451,3437.496288,136.2422309,
221,0.0278,50,1450,1.3,0,125,395,15,,1520.145235,4803.658942,182.4174282,
222,0.0286,54,2950,3.2,0,105,209,18,,1297.772423,2583.185108,222.4752725,
223,0.0292,52,1450,1.2,0,125,409,12,,1515.130976,4957.508552,145.4525737,
224,0.03,15.91,1500,2.24,0,116,232,21.5,,938.9467525,1877.893505,174.028924,80.4
225,0.0305,9,1450,1.5,0,52,180,7,,346.1924299,1198.358411,46.6028271,
226,0.0319,85,2900,3.4,0,110,259,15,,1524.996216,3590.672908,207.9540294,
227,0.0319,11,1450,1.2,0,129,209,32,,904.6009601,1465.593804,224.3971374,
228,0.032,20,1475,1,0,132,259,24,,1128.584125,2214.418851,205.1971136,
229,0.0333,23,1450,1,0,155,259,33,,1370.123028,2289.431382,291.7036124,
230,0.0333,35.6,1450,1,0,160,324,25,,1636.019858,3312.940212,255.6281028,
231,0.0333,55.8,1450,1,0,160,409,20,,1900.421658,4857.952863,237.5527072,
232,0.0347,31,1475,1,0,140,324,20,,1348.358701,3120.48728,192.6226716,
233,0.0353,82,2950,4,0,55,259,16,,728.4097301,3430.147638,211.9010124,
234,0.0361,20,1450,1.2,0,137,259,23,,1125.195962,2127.195286,188.9015119,
235,0.0367,32,1450,1.5,0,137,324,20,,1308.825874,3095.325424,191.0694706,
236,0.0375,135,2900,3.5,0,110,324,13,,1685.880751,4965.685122,199.2404524,
237,0.0389,45,2900,2.3,0,100,200,23,,1049.75424,2099.50848,241.4434752,
238,0.0392,127,2950,4,0,117,324,14,,1731.244525,4794.215609,207.1574646,
239,0.04,4.9,1450,6,0,144,172,35,,715.1676396,854.228014,173.825468,78.3
240,0.0417,50,2900,3.8,0,120,209,24,,1274.850414,2220.36447,254.9700827,
241,0.0417,48,1475,1.4,0,150,409,17,,1572.025741,4286.390188,178.1629174,
242,0.0444,50,2900,2.3,0,100,215,23,,1040.388823,2236.83597,239.2894294,
243,0.045,29,2950,5,0,116,169,29,,1001.966383,1459.761368,250.4915957,
244,0.0452,12.45,1450,2.55,0,132,222,30,,858.8504946,1444.430377,195.1932942,87.2
245,0.0472,32.5,1450,4.1,0,152,328,18,,1342.221039,2896.371716,158.9472283,76.5
246,0.0472,30,2900,4.2,0,120,169,32.6,,1031.749653,1453.047428,280.291989,
247,0.0475,187,2950,3.5,0,123,409,14.5,,1942.172395,6458.117965,228.9552824,
248,0.05,75,1475,1.5,0,154,514,17.5,,1762.859934,5883.831207,200.3249924,
249,0.052,20.31,1450,1.9,0,132,268,25,,964.8862653,1959.011508,182.7436108,90.06
250,0.052,44,1450,2.3,0,140,370,20,,1324.172243,3499.59807,189.1674632,
251,0.0528,80,2900,5,0,115,259,18,,1320.838933,2974.758989,206.740007,
252,0.0536,50,2950,3.5,0,125,209,27,,1221.363915,2042.120465,263.8146056,
253,0.0542,18.5,1475,1.7,0,160,259,34,,1118.177622,1810.050026,237.6127447,
254,0.0556,52.35,1450,2.43,19,150,399.5,21.5,29,1481.931888,3915.591843,210.7264697,77.97
255,0.0556,50,2900,4.5,0,125,216,26.5,,1206.540072,2084.901245,255.7864954,81
256,0.0556,80,2900,4.2,0,125,255,21,,1411.17783,2878.802772,237.0778754,78
257,0.0556,80,2900,4.2,0,125,317,14,,1411.17783,3578.746976,158.0519169,78
258,0.0556,20,1450,3,0,150,260,33,,1066.783592,1849.091559,234.6923901,81
259,0.0556,32,1450,2.5,0,155,325,22,,1289.308246,2703.388259,182.9985898,79
260,0.0556,50,1450,2.8,0,150,399.5,21.5,,1447.848087,3856.102072,207.5248925,75
261,0.0556,32,1450,2.3,0,141,325,23,,1172.854598,2703.388259,191.3167075,
262,0.0556,50,1450,2.3,0,140,390,23,,1351.324881,3764.405026,222.0033733,
263,0.0556,20,1450,2.3,0,125,260,42,,888.9863263,1849.091559,298.6994056,
264,0.0556,130,2900,5.5,0,125,324,16,,1659.075691,4300.32419,212.3616884,
265,0.0556,50,2900,5.5,0,125,223,20,,1206.540072,2152.467489,193.0464116,
266,0.0556,80,2900,5.5,0,126,250,17,,1422.467252,2822.355659,191.9201848,
267,0.0556,125,2900,5.5,0,125,328,13,,1637.526814,4296.87036,170.3027887,
268,0.0556,20,1450,2.3,0,158,280,25.6,,1123.678716,1991.329371,182.0643996,
269,0.0556,32,1450,2.3,0,150,328,23,,1247.717658,2728.342612,191.3167075,
270,0.0556,50,1450,2.3,0,160,420,16,,1544.371293,4053.974644,154.4371293,
271,0.0556,50,2900,4,0,125,223,20,,1206.540072,2152.467489,193.0464116,
272,0.0556,80,2900,4,0,126,250,17,,1422.467252,2822.355659,191.9201848,
273,0.0556,125,2900,4,0,125,328,13,,1637.526814,4296.87036,170.3027887,
274,0.0556,20,1450,2.3,0,158,280,25.6,,1123.678716,1991.329371,182.0643996,
275,0.0556,32,1450,2.3,0,150,328,23,,1247.717658,2728.342612,191.3167075,
276,0.0556,50,1450,2.3,0,160,380,16,,1544.371293,3667.88182,154.4371293,
277,0.061,48.3,2900,4.2,0,114,205,24,,1054.655487,1896.529604,222.0327342,85
278,0.0611,45,2900,4,0,129,209,32,,1164.966611,1887.426524,288.9839654,
279,0.0611,61.5,1475,1.7,0,165,324,30,,1653.592826,3247.055003,300.653241,
280,0.0639,79,2950,4,0,132,259,24,,1416.715598,2779.767727,257.5846542,
281,0.0667,23,1450,2.3,0,180,259,49,,1262.233898,1816.214331,343.6081166,
282,0.0667,35.6,1450,2.3,0,190,324,41,,1541.209423,2628.167648,332.5767702,
283,0.0667,55.8,1450,2.3,0,200,409,32,,1884.514358,3853.831862,301.5222973,
284,0.0694,126,2950,3.6,0,140,324,20,,1707.910311,3952.592435,243.9871873,
285,0.0722,51,1475,1.8,0,174,409,24,,1549.626048,3642.511801,213.7415238,
286,0.075,135,2900,5.5,0,137,324,20,,1666.523347,3941.266893,243.2880798,
287,0.0778,29.1,1450,4.4,0,160,315,30,,1152.810119,2269.594922,216.1518973,82.5
288,0.0778,75,2900,4.9,0,137,259,23,,1353.363489,2558.548494,227.2070091,
289,0.0792,14.32,1450,2.3,0,157,246,39,,887.7804924,1391.044593,220.5314599,88
290,0.08,60,1450,2.3,0,189,460,20,,1717.17896,4179.377364,181.7120593,
291,0.0833,194,2950,5.5,0,150,409,17,,1988.276755,5421.367952,225.3380323,
292,0.0833,77,1475,2,0,180,514,21,,1753.427229,5007.008864,204.56651,
293,0.0847,17.5,1475,2.2,0,175,259,44,,1034.561378,1531.15084,260.1182894,
294,0.0881,19.8,1450,2.2,0,160,265,30,,972.78398,1611.173467,182.3969962,89.5
295,0.0889,44,2950,6,0,144,209,36,,1139.058766,1653.217237,284.7646915,
296,0.0931,104,1475,2.4,0,186,578,22,,1929.92677,5997.299318,228.2709083,
297,0.0944,50,1450,2.4,0,200,509,28,,1618.189327,4118.291837,226.5465058,
298,0.0972,30,1475,2,0,188,324,40,,1270.504417,2189.592718,270.3200887,
299,0.1,115,1475,8,0,193,648,27,,2022.040838,6789.028305,282.8761794,
300,0.1083,74,2950,5.1,0,160,259,34,,1409.249006,2281.221828,299.4654137,
301,0.1111,19.26,1450,3.75,36,176,268,56,27,1001.675416,1494.338097,312.2497516,84.54
302,0.1111,12.81,1450,3.8,0,188,244.5,58.5,,915.0318398,1190.028111,284.7306523,86.81
303,0.1111,20,1450,3.8,0,175,275,47,,988.1207688,1552.761208,265.3810065,82
304,0.1111,32,1450,3.5,0,190,348,31,,1254.774182,2298.217975,204.7263139,82
305,0.1111,50,1450,3.8,0,175,395,26,,1341.086211,3027.023162,199.2470942,81
306,0.1111,20,1450,3.8,0,178,258,38,,1005.059982,1456.772333,214.5633669,
307,0.1111,32,1450,3.8,0,178,328,38,,1175.525286,2166.136482,250.9548364,
308,0.1111,50,1450,3.8,0,200,407,29.5,,1532.669955,3118.983359,226.0688184,
309,0.1111,20,1450,3.8,0,178,258,38,,1005.059982,1456.772333,214.5633669,
310,0.1111,32,1450,3.8,0,178,328,38,,1175.525286,2166.136482,250.9548364,
311,0.1111,50,1405,3.8,0,200,407,29.5,,1532.669955,3118.983359,226.0688184,
312,0.1183,50,1475,3.2,0,200,409,34,,1500.92301,3069.387555,255.1569117,
313,0.1228,125,2950,6,0,165,324,30,,1659.795157,3259.234126,301.7809376,
314,0.125,24,1450,2.3,0,213.5,355,42,,1231.681133,2047.99439,242.2979278,
315,0.125,40,1450,2.3,0,250,509,37,,1709.975947,3481.511027,253.0764401,
316,0.1375,84,1475,2.8,0,210,514,30,,1781.878786,4361.360457,254.5541123,
317,0.1389,28,1450,2.3,0,213.5,355,42,,1251.842835,2081.518531,246.2641642,
318,0.1389,10,1450,2.3,0,207,259,67.4,,861.1317398,1077.454689,280.3878225,
319,0.1389,13,1450,2.3,0,212,324,50,,962.5343337,1471.043038,227.0128146,
320,0.1389,40,1450,2.3,0,235,409,47,,1551.864425,2700.904467,310.372885,
321,0.15,105,1475,3,0,215,578,29,,1908.993604,5132.08513,257.4921605,
322,0.1514,27,1475,2.7,0,215,324,53,,1210.183116,1823.717812,298.32421,
323,0.1528,32,1450,2.3,0,213.5,355,42,,1267.86619,2108.161581,249.4162997,
324,0.1611,132,1475,3.2,0,220,648,29,,2058.648236,6063.654803,271.3672674,
325,0.1694,72,2950,9,0,175,259,44,,1315.76323,1947.32958,330.8204692,
326,0.1833,27,1475,2.7,0,228,409,48,,1204.116793,2160.016529,253.4982723,
327,0.2222,16,1450,2.7,0,235,324,73,,977.671987,1347.93925,303.7023619,
328,0.2222,24,1450,2.7,0,270,409,63,,1285.837715,1947.80602,300.0288001,
329,0.2222,82,1475,5,0,240,514,40,,1721.4768,3686.829481,286.9128001,
330,0.2361,45,1450,5,0,270,509,50,,1553.826795,2929.251254,287.7457028,
331,0.2375,128,1475,4.6,0,255,648,37,,2075.179327,5273.396878,301.1044514,
332,0.2389,106,1475,4.1,0,248,578,40,,1891.537342,4408.502353,305.086668,
333,0.2917,48,1475,6,0,262,409,64,,1435.719373,2241.256579,350.7100759,
334,0.3056,40,1450,2,0,330,509,77,,1675.519502,2584.361898,390.9545504,
335,0.3444,78,1475,4.7,0,280,514,56,,1706.744523,3133.095304,341.3489047,
336,0.3611,20,1450,1.2,0,305,409,85,,1162.609878,1559.040787,324.0060315,
337,0.3722,104,1475,5.2,0,287,578,52,,1876.293988,3778.738414,339.9557051,
338,0.4028,132,1475,5.5,0,297,648,48,,2047.629003,4467.554189,330.9299399,
339,0.5194,74,1475,6,0,320,514,75,,1671.321127,2684.559561,391.7158892,
340,0.5667,98,1475,7.6,0,330,578,70,,1838.533556,3220.219381,389.9919665,
